row_id,poverty_probability
0,0.515
1,0.981
2,0.982
3,0.879
4,0.7959999999999999
5,0.915
6,0.447
7,0.612
8,0.404
9,0.99
10,0.949
11,0.612
12,0.925
13,0.447
14,0.633
15,0.161
16,0.95
17,0.404
18,0.757
19,0.523
20,0.404
21,0.584
22,0.409
23,0.26
24,0.28
25,0.282
26,0.409
27,0.886
28,0.569
29,0.97
30,0.282
31,0.983
32,0.342
33,0.449
34,0.548
35,0.895
36,0.63
37,0.132
38,0.295
39,0.879
40,0.97
41,0.879
42,0.191
43,0.342
44,0.309
45,0.664
46,0.437
47,1.0
48,0.97
49,0.8490000000000001
50,0.591
51,0.342
52,0.071
53,0.961
54,0.437
55,0.883
56,0.7509999999999999
57,0.728
58,0.9990000000000001
59,0.875
60,0.342
61,0.49200000000000005
62,0.982
63,0.846
64,0.95
65,0.846
66,0.191
67,0.355
68,0.728
69,0.987
70,0.969
71,0.228
72,0.191
73,0.9990000000000001
74,0.8490000000000001
75,0.456
76,0.368
77,0.271
78,0.9390000000000001
79,0.216
80,0.21600000000000003
81,0.633
82,0.507
83,0.081
84,0.342
85,0.9570000000000001
86,0.604
87,0.7509999999999999
88,0.732
89,0.826
90,0.992
91,0.879
92,0.97
93,0.915
94,0.7959999999999999
95,0.371
96,0.45299999999999996
97,0.49200000000000005
98,0.7509999999999999
99,0.875
100,0.569
101,0.886
102,1.0
103,0.035
104,0.456
105,0.987
106,0.879
107,0.342
108,0.027000000000000003
109,0.826
110,0.9670000000000001
111,0.949
112,0.456
113,0.9570000000000001
114,0.569
115,0.253
116,0.105
117,0.895
118,0.482
119,0.387
120,0.843
121,0.7509999999999999
122,0.185
123,0.482
124,0.557
125,0.95
126,0.482
127,0.633
128,0.9670000000000001
129,0.507
130,0.879
131,0.63
132,0.268
133,0.608
134,0.729
135,0.569
136,0.9990000000000001
137,0.49200000000000005
138,0.843
139,0.772
140,0.387
141,0.97
142,0.105
143,0.608
144,0.569
145,0.506
146,0.355
147,0.96
148,0.9670000000000001
149,0.915
150,0.97
151,0.925
152,0.895
153,0.0
154,0.9570000000000001
155,0.342
156,0.49200000000000005
157,0.447
158,0.914
159,0.449
160,0.49200000000000005
161,0.846
162,0.548
163,0.895
164,0.185
165,0.21600000000000003
166,0.161
167,0.035
168,0.7509999999999999
169,0.95
170,0.515
171,0.997
172,0.454
173,0.371
174,0.728
175,0.456
176,0.268
177,0.26
178,0.732
179,0.282
180,0.515
181,0.321
182,0.409
183,0.756
184,0.97
185,0.282
186,0.826
187,0.515
188,0.185
189,0.949
190,0.228
191,0.515
192,0.772
193,0.569
194,0.732
195,0.557
196,0.664
197,0.772
198,0.507
199,0.843
200,0.456
201,0.28
202,0.604
